Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,BALTIMORE,,24 inch bins,,,,04/29/2017,270,280,270,280,,,lge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,,,,05/06/2017,270,280,270,280,,,lge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN TYPE,,,09/24/2016,160,160,160,160,DELAWARE,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN TYPE,,,09/24/2016,160,160,160,160,VIRGINIA,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN TYPE,,,11/05/2016,90,100,90,100,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN TYPE,,,11/12/2016,90,100,90,100,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,170,160,170,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,160,160,160,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,170,160,170,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,160,160,160,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,170,160,170,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,160,160,160,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/15/2016,150,160,150,160,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/15/2016,150,170,150,170,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/22/2016,150,160,150,160,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/22/2016,140,160,140,160,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,100,160,100,160,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,160,130,160,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,130,130,130,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/05/2016,120,130,120,130,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/05/2016,100,130,100,130,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/05/2016,90,100,90,100,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/12/2016,100,120,100,100,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,09/16/2017,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,09/23/2017,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,09/30/2017,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,09/30/2017,150,160,150,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,09/23/2017,160,180,160,180,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,09/30/2017,180,180,180,180,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,06/03/2017,380,380,380,380,,,xlge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,06/10/2017,380,380,380,380,,,xlge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,06/17/2017,380,380,380,380,,,xlge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,08/19/2017,200,200,200,200,MEXICO,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,08/26/2017,200,350,200,350,MEXICO,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/02/2017,350,350,350,350,MEXICO,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/09/2017,180,180,180,180,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/09/2017,200,200,200,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/16/2017,180,200,180,200,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/16/2017,180,200,180,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/23/2017,340,340,340,340,MARYLAND,,jbo,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/23/2017,240,250,240,250,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/23/2017,200,200,200,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/30/2017,340,340,340,340,MARYLAND,,jbo,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/30/2017,240,250,240,250,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,09/30/2017,180,200,180,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,08/12/2017,29,29,29,29,COSTA RICA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,08/12/2017,29,29,29,29,MEXICO,,lge,,,,,,,,,N,
