Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,200,165,165,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,200,165,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,200,165,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,200,165,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,180,165,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,180,160,165,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,160,150,160,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,160,150,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,160,140,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,200,225,225,225,MASSACHUSETTS,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,180,225,200,200,MASSACHUSETTS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,180,225,200,200,MASSACHUSETTS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,180,225,180,200,MASSACHUSETTS,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,180,225,180,190,MASSACHUSETTS,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,180,225,180,180,MASSACHUSETTS,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,170,180,180,180,MICHIGAN,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,170,180,175,180,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,160,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,160,150,150,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,200,165,165,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,200,165,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,200,165,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,200,165,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,180,165,165,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,180,160,165,CANADA,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,160,150,160,CANADA,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,160,150,150,CANADA,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,160,140,140,CANADA,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,200,225,225,225,MASSACHUSETTS,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,180,225,200,200,MASSACHUSETTS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,180,225,200,200,MASSACHUSETTS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,180,225,180,200,MASSACHUSETTS,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,180,225,180,190,MASSACHUSETTS,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,180,225,180,180,MASSACHUSETTS,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,170,180,180,180,MICHIGAN,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,170,180,175,180,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,160,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,160,150,150,PENNSYLVANIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,200,165,165,CANADA,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,200,165,165,CANADA,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,200,165,165,CANADA,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,200,165,165,CANADA,QUEBEC,xlge,ORANGE,,,,,,,,N,
