Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/16/2017,200,225,200,225,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/16/2017,200,220,200,220,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/23/2017,200,225,200,225,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/23/2017,200,220,200,220,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/30/2017,200,225,200,225,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/30/2017,200,220,200,220,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,09/24/2016,135,135,135,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,09/24/2016,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/01/2016,130,135,130,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/01/2016,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/08/2016,130,130,130,130,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/08/2016,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,130,135,130,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/22/2016,130,135,130,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/22/2016,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/22/2016,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/29/2016,125,135,125,135,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/29/2016,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/05/2016,125,130,125,130,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/05/2016,130,130,130,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/05/2016,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/12/2016,125,130,125,130,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/12/2016,120,130,120,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/12/2016,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/19/2016,125,130,125,130,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/19/2016,100,130,100,130,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/19/2016,60,60,60,60,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/26/2016,125,125,125,125,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,11/26/2016,100,125,100,125,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,12/03/2016,125,125,125,125,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,12/03/2016,100,125,100,125,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,12/10/2016,125,125,125,125,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,12/10/2016,100,125,100,125,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,09/23/2017,170,170,170,170,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,09/30/2017,170,170,170,170,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN WHITE TYPE,,,09/02/2017,200,200,200,200,ILLINOIS,,med-lge,,,,,,,,,N,
