Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,COLUMBIA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120,120,120,120,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120,120,120,120,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,120,120,120,120,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,175,175,175,175,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,165,165,165,165,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,165,165,165,165,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,165,190,165,190,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,200,200,200,200,PENNSYLVANIA,,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,190,190,190,190,PENNSYLVANIA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,150,150,150,150,PENNSYLVANIA,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,150,150,150,150,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,125,125,125,125,PENNSYLVANIA,,sml,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,140,140,140,140,VIRGINIA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,140,140,140,140,VIRGINIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,150,150,150,150,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,160,160,160,160,NORTH CAROLINA,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,140,150,140,150,NORTH CAROLINA,,lge,ORANGE,,,,,,,,N,
PUMPKINS,COLUMBIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,140,140,140,140,NORTH CAROLINA,,med,ORANGE,,,,,,,,N,
