Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,DALLAS,,24 inch bins,,,,09/16/2017,160,225,160,225,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,,,,09/23/2017,160,225,160,225,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,,,,09/30/2017,160,225,160,225,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,09/24/2016,160,160,160,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/01/2016,150,160,150,160,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/01/2016,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/01/2016,125,150,125,150,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/08/2016,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/08/2016,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/08/2016,125,125,125,125,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/15/2016,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/15/2016,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/15/2016,125,125,125,125,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/22/2016,150,150,150,150,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/22/2016,125,150,125,150,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/22/2016,125,125,125,125,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/29/2016,115,120,115,120,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/29/2016,100,120,100,120,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,10/29/2016,120,120,120,120,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,11/05/2016,115,115,115,115,TEXAS,,jbo,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,11/05/2016,100,100,100,100,TEXAS,,med,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,11/05/2016,120,120,120,120,TEXAS,,sml,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,09/16/2017,160,160,160,160,TEXAS,,lge,,,,,,,,,N,
PUMPKINS,DALLAS,,24 inch bins,HOWDEN TYPE,,,09/16/2017,150,160,150,160,TEXAS,,med,,,,,,,,,N,
