Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,09/16/2017,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,09/16/2017,94,95,94,95,MICHIGAN,,med,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,09/23/2017,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN TYPE,,,09/23/2017,94,95,94,95,MICHIGAN,,med,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,09/23/2017,175,175,175,175,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,09/23/2017,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,09/30/2017,175,175,175,175,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,DETROIT,,bins,HOWDEN TYPE,,,09/30/2017,95,95,95,95,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN WHITE TYPE,,,10/22/2016,100,100,100,100,MICHIGAN,,med-lge,WHITE,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,HOWDEN WHITE TYPE,,,10/29/2016,100,100,100,100,MICHIGAN,,med-lge,WHITE,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,10/22/2016,12,12,12,12,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,10/29/2016,12,12,12,12,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,11/05/2016,12,12,12,12,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,09/09/2017,22,22,22,22,OHIO,,sml,,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,09/16/2017,20,20,20,20,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,09/16/2017,22,22,22,22,OHIO,,sml,,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,09/23/2017,15,20,15,20,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,DETROIT,,1 1/9 bushel cartons,PIE TYPE,,,09/30/2017,15,15,15,15,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,PIE TYPE,,,09/24/2016,150,150,150,150,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,PIE TYPE,,,09/24/2016,175,175,175,175,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,PIE TYPE,,,10/01/2016,150,150,150,150,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,PIE TYPE,,,10/01/2016,175,175,175,175,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,PIE TYPE,,,10/08/2016,100,115,100,110,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,DETROIT,,24 inch bins,PIE TYPE,,,10/08/2016,150,150,150,150,MICHIGAN,,sml,ORANGE,,,,,,,,N,
