Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,09/24/2016,120,130,120,130,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,09/24/2016,120,130,120,130,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/01/2016,120,130,120,130,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/01/2016,120,130,120,130,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/08/2016,120,130,120,130,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/08/2016,120,130,120,130,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120,130,120,130,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120,130,120,130,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120,130,120,130,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120,130,120,130,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/29/2016,85,130,85,130,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/29/2016,85,130,85,130,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,11/05/2016,80,90,80,90,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,11/05/2016,80,90,80,90,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/16/2017,120,120,120,120,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/23/2017,120,120,120,120,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,lge,,,PER BIN,,,,,,N,
