Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,PHILADELPHIA,,24 inch bins,HOWDEN TYPE,,,09/16/2017,140,150,140,150,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,NEW YORK,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,NEW YORK,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,160,150,160,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,140,140,140,NEW JERSEY,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,140,140,140,PENNSYLVANIA,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/01/2016,120,120,120,120,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,140,155,140,155,NEW JERSEY,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/08/2016,120,120,120,120,NEW JERSEY,,sml,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,120,125,120,125,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/15/2016,100,125,100,125,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,130,140,130,140,NEW JERSEY,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,120,120,120,120,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,130,140,130,140,PENNSYLVANIA,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/22/2016,100,120,100,120,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,140,130,140,NEW JERSEY,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,120,120,120,120,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,140,130,140,PENNSYLVANIA,,med-lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,10/29/2016,100,120,120,120,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/16/2017,120,120,120,120,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/16/2017,120,150,120,150,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/23/2017,140,140,140,140,DELAWARE,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/23/2017,150,150,150,150,DELAWARE,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/23/2017,120,150,120,150,NEW YORK,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/23/2017,140,150,140,150,PENNSYLVANIA,,xlge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/23/2017,140,150,140,150,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,140,140,140,140,DELAWARE,,lge,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,140,140,140,140,DELAWARE,,med,,,,,,,,,N,
PUMPKINS,PHILADELPHIA,,1 1/9 bushel cartons,PIE TYPE,,,10/15/2016,12,14,12,14,OHIO,,med,,,,,,,,,N,
