Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,09/24/2016,155,155,155,155,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/01/2016,155,155,155,155,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/01/2016,155,155,155,155,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/01/2016,135,135,135,135,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/08/2016,135,150,135,150,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/08/2016,135,135,135,135,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120,150,120,150,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120,150,120,150,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120,145,120,145,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120,145,120,145,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120,150,120,150,CALIFORNIA,,med,,,,,,,,,N,
